Unnamed: 0	scene_id	raw_text	characters	affective_prompt	only_speaker	origin_sent	sent_and_prompt	cOPN	labels	personality_description	sent	sentence1	sentence2
0	01_e12_c08(0) 	"[['Monica Geller', ' Well, what happened?'], ['Phoebe Buffay', "" Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.)""], ['Chandler, Joey, Ross', ' Ooooohh!'], ['Ross Geller', ' My God.'], ['Monica Geller', ' Are you sure?']]"	Phoebe Buffay	First, the emotion of others is neutral, Phoebe respond with neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	 Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), ; 	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), Others :  Ooooohh!, Others :  My God., Others :  Are you sure?, ; 	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), Others :  Ooooohh!, Others :  My God., Others :  Are you sure?, ; First, the emotion of others is neutral, Phoebe respond with neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	True	1	Phoebe has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), Others :  Ooooohh!, Others :  My God., Others :  Are you sure?, ; 	Others :  Well, what happened?, Speaker :  Well, he came in for a massage, and everything was fine until. (A flashback starts Paolo, lying on massage table, moving his hands up Phoebe's legs.), Others :  Ooooohh!, Others :  My God., Others :  Are you sure?, ; First, the emotion of others is neutral, Phoebe respond with neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Phoebe has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
1	03_e24_c04(0) 	"[['Monica', ' (to Chandler) Anything but stew.'], ['Ross', "" All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him.""], ['Joey', "" Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?""], ['Chandler', ' (to Ross and Monica) What if Joey were president?']]"	Rachel	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., Others :  Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?, Others :  (to Ross and Monica) What if Joey were president?, ; 	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., Others :  Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?, Others :  (to Ross and Monica) What if Joey were president?, ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	True	1	Rachel has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., Others :  Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?, Others :  (to Ross and Monica) What if Joey were president?, ; 	Others :  (to Chandler) Anything but stew., Others :  All right so, Chandler, from now on, don't give your boss a chance to get you. Y'know just ah, don't turn your back to him., Others :  Yeah, or you can teach him a lesson. Y'know? What you could do is you could rub something that really smells on your butt, all right? Then, when he goes to smack ya, his hand will smell. (thinking aloud) Now what could you rub on your butt that would smell bad?, Others :  (to Ross and Monica) What if Joey were president?, ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Rachel has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
2	02_e19_c06(0) 	"[['Eddie', ' Hey pal.'], ['Chandler Bing', "" Ahhhh-gaaaahhh. Eddie what're you still doin' here?""], ['Eddie', "" Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!""]]"	Eddie	The emotion of Eddie is initially joy, the emotion of others is neutral, Eddie respond with neutral, 	 Hey pal.,  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!, ; 	Speaker :  Hey pal., Others :  Ahhhh-gaaaahhh. Eddie what're you still doin' here?, Speaker :  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!, ; 	Speaker :  Hey pal., Others :  Ahhhh-gaaaahhh. Eddie what're you still doin' here?, Speaker :  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!, ; The emotion of Eddie is initially joy, the emotion of others is neutral, Eddie respond with neutral, 	True	1	Eddie has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Speaker :  Hey pal., Others :  Ahhhh-gaaaahhh. Eddie what're you still doin' here?, Speaker :  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!, ; 	Speaker :  Hey pal., Others :  Ahhhh-gaaaahhh. Eddie what're you still doin' here?, Speaker :  Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!, ; The emotion of Eddie is initially joy, the emotion of others is neutral, Eddie respond with neutral, 	Eddie has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
3	02_e12_c05(0) 	"[['Chandler Bing', "" Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore.""], ['Rachel Green', ' Oh my God.'], ['Monica Geller', "" Ah, and I mean, he's going out with her? He can not persue this.""]]"	Phoebe Buffay	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., Others :  Oh my God., Others :  Ah, and I mean, he's going out with her? He can not persue this., ; 	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., Others :  Oh my God., Others :  Ah, and I mean, he's going out with her? He can not persue this., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	True	1	Phoebe has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., Others :  Oh my God., Others :  Ah, and I mean, he's going out with her? He can not persue this., ; 	Others :  Oh no no no, she's a total wack job. Yeah, she thinks that Joey is actually Dr. Drake Remore., Others :  Oh my God., Others :  Ah, and I mean, he's going out with her? He can not persue this., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Phoebe has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
4	02_e22_c03(1) 	"[['Joey Tribbiani', "" Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed.""], ['Mr. Green', "" Alright, that sounds like a two person job. [they walk into Rachel's bedroom]""], ['Mrs. Green', ' Well, my goodness, what was that?'], ['Monica Geller', "" Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet.""], ['Mrs. Green', ' You thought I was Rachel?'], ['Chandler Bing', ' Yes because uh, you look so young.'], ['Phoebe Buffay', "" And because you're both, you know, white women.""]]"	Chandler Bing	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is joy, the emotion of others is joy, Chandler respond with neutral, the emotion of others is neutral, 	 Yes because uh, you look so young., ; 	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, Others :  Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet., Others :  You thought I was Rachel?, Speaker :  Yes because uh, you look so young., Others :  And because you're both, you know, white women., ; 	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, Others :  Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet., Others :  You thought I was Rachel?, Speaker :  Yes because uh, you look so young., Others :  And because you're both, you know, white women., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is joy, the emotion of others is joy, Chandler respond with neutral, the emotion of others is neutral, 	False	0	Chandler has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, Others :  Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet., Others :  You thought I was Rachel?, Speaker :  Yes because uh, you look so young., Others :  And because you're both, you know, white women., ; 	Others :  Uh, hey, Dr. Greene, why don't you come with me, we'll put your jacket on Rachel's bed., Others :  Alright, that sounds like a two person job. [they walk into Rachel's bedroom], Others :  Well, my goodness, what was that?, Others :  Sandra, I am so sorry, I thought you were Rachel and we just weren't ready for you yet., Others :  You thought I was Rachel?, Speaker :  Yes because uh, you look so young., Others :  And because you're both, you know, white women., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is joy, the emotion of others is joy, Chandler respond with neutral, the emotion of others is neutral, 	Chandler has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
5	04_e02_c03(0) 	[['Phoebe', ' Oh my God, you guys are selling the entertainment center?'], ['Rachel', ' Why? I love that thing.'], ['Chandler', ' You want it?'], ['Phoebe, Rachel', ' Oh no.'], ['Chandler', ' Ahh, Gepeto, $5,000 dollars? Are you insane?']]	Joey	First, the emotion of others is neutral, the emotion of others is joy, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., Others :  You want it?, Others :  Oh no., Others :  Ahh, Gepeto, $5,000 dollars? Are you insane?, ; 	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., Others :  You want it?, Others :  Oh no., Others :  Ahh, Gepeto, $5,000 dollars? Are you insane?, ; First, the emotion of others is neutral, the emotion of others is joy, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	True	1	Joey has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., Others :  You want it?, Others :  Oh no., Others :  Ahh, Gepeto, $5,000 dollars? Are you insane?, ; 	Others :  Oh my God, you guys are selling the entertainment center?, Others :  Why? I love that thing., Others :  You want it?, Others :  Oh no., Others :  Ahh, Gepeto, $5,000 dollars? Are you insane?, ; First, the emotion of others is neutral, the emotion of others is joy, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Joey has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
6	04_e24_c19(0) 	"[['Phoebe', "" Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own.""], ['Mrs. Waltham', ' Oh my God, Phoebe.'], ['Phoebe', ' No, not Phoebe, Dr. Philange. Oh no! You have it too!'], ['Phoebe', ' Hello? What kind of bitch hangs up on a doctor!'], ['Chandler', ' Hey.'], ['Monica', ' Hey.'], ['Chandler', "" Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship.""], ['Monica', ' I know. How could we have let this happen?'], ['Chandler', ' Seven times!'], ['Monica', "" Ugh! Well, y'know, we were away...""], ['Chandler', ' In a foreign, romantic country...'], ['Monica', ' I blame London.'], ['Chandler', ' Bad London! (Takes a spoon and smacks the turkey.)'], ['Monica', "" So look umm, while we're st-still in London, I mean, we can keep doing it right?""]]"	Monica	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Monica respond with joy, the emotion of others is neutral, Monica respond with neutral, the emotion of others is anger, Monica respond with neutral, the emotion of others is joy, Monica respond with neutral, the emotion of others is neutral, Monica respond with neutral, 	 Hey.,  I know. How could we have let this happen?,  Ugh! Well, y'know, we were away...,  I blame London.,  So look umm, while we're st-still in London, I mean, we can keep doing it right?, ; 	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., Speaker :  I know. How could we have let this happen?, Others :  Seven times!, Speaker :  Ugh! Well, y'know, we were away..., Others :  In a foreign, romantic country..., Speaker :  I blame London., Others :  Bad London! (Takes a spoon and smacks the turkey.), Speaker :  So look umm, while we're st-still in London, I mean, we can keep doing it right?, ; 	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., Speaker :  I know. How could we have let this happen?, Others :  Seven times!, Speaker :  Ugh! Well, y'know, we were away..., Others :  In a foreign, romantic country..., Speaker :  I blame London., Others :  Bad London! (Takes a spoon and smacks the turkey.), Speaker :  So look umm, while we're st-still in London, I mean, we can keep doing it right?, ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Monica respond with joy, the emotion of others is neutral, Monica respond with neutral, the emotion of others is anger, Monica respond with neutral, the emotion of others is joy, Monica respond with neutral, the emotion of others is neutral, Monica respond with neutral, 	True	1	Monica has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., Speaker :  I know. How could we have let this happen?, Others :  Seven times!, Speaker :  Ugh! Well, y'know, we were away..., Others :  In a foreign, romantic country..., Speaker :  I blame London., Others :  Bad London! (Takes a spoon and smacks the turkey.), Speaker :  So look umm, while we're st-still in London, I mean, we can keep doing it right?, ; 	Others :  Yeah, I've discovered that Ross forgot to take his brain medicine, uh, now without it, uh, in the brain of Ross, uh women's names are interchangeable, through-through no fault of his own., Others :  Oh my God, Phoebe., Others :  No, not Phoebe, Dr. Philange. Oh no! You have it too!, Others :  Hello? What kind of bitch hangs up on a doctor!, Others :  Hey., Speaker :  Hey., Others :  Oh wow, I hope you don't take this the wrong way but, I know we had plans to meet up tonight and, ugh, I'm just kinda worried about what it might do to our friendship., Speaker :  I know. How could we have let this happen?, Others :  Seven times!, Speaker :  Ugh! Well, y'know, we were away..., Others :  In a foreign, romantic country..., Speaker :  I blame London., Others :  Bad London! (Takes a spoon and smacks the turkey.), Speaker :  So look umm, while we're st-still in London, I mean, we can keep doing it right?, ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Monica respond with joy, the emotion of others is neutral, Monica respond with neutral, the emotion of others is anger, Monica respond with neutral, the emotion of others is joy, Monica respond with neutral, the emotion of others is neutral, Monica respond with neutral, 	Monica has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
7	01_e04_c10(0) 	"[['Rachel Green', "" I'm so sorry, you guys. I didn't mean to bring you down.""], ['Monica Geller', "" No, you were right. I don't have a plan. (There's a knock on the door.)""], ['Pizza Guy', ' (yelling from outside) Pizza guy!'], ['Rachel Green', ' Thank God. Food. (She goes to answer the door.)']]"	Phoebe Buffay	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	; 	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), Others :  (yelling from outside) Pizza guy!, Others :  Thank God. Food. (She goes to answer the door.), ; 	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), Others :  (yelling from outside) Pizza guy!, Others :  Thank God. Food. (She goes to answer the door.), ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	True	1	Phoebe has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), Others :  (yelling from outside) Pizza guy!, Others :  Thank God. Food. (She goes to answer the door.), ; 	Others :  I'm so sorry, you guys. I didn't mean to bring you down., Others :  No, you were right. I don't have a plan. (There's a knock on the door.), Others :  (yelling from outside) Pizza guy!, Others :  Thank God. Food. (She goes to answer the door.), ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, 	Phoebe has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
8	03_e04_c04(0) 	"[['Phoebe', "" Oh, it's your audition from this morning. Can I use the phone again?""], ['Rachel', "" Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents.""], ['Joey', ' Come on baby, come on!']]"	Rachel	First, the emotion of others is neutral, Rachel respond with neutral, the emotion of others is neutral, 	 Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents., ; 	Others :  Oh, it's your audition from this morning. Can I use the phone again?, Speaker :  Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents., Others :  Come on baby, come on!, ; 	Others :  Oh, it's your audition from this morning. Can I use the phone again?, Speaker :  Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents., Others :  Come on baby, come on!, ; First, the emotion of others is neutral, Rachel respond with neutral, the emotion of others is neutral, 	True	1	Rachel has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  Oh, it's your audition from this morning. Can I use the phone again?, Speaker :  Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents., Others :  Come on baby, come on!, ; 	Others :  Oh, it's your audition from this morning. Can I use the phone again?, Speaker :  Sure Pheebs, you know, that's what it's there for, emergencies and pretend agents., Others :  Come on baby, come on!, ; First, the emotion of others is neutral, Rachel respond with neutral, the emotion of others is neutral, 	Rachel has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
9	02_e04_c09(0) 	"[['Monica Geller', ' You know, it still smells like monkey in there.'], ['Julie', ' That saves us a conversation.'], ['Chandler Bing', "" Well, listen, this has been great but I'm officially wiped.""], ['Joey Tribbiani', "" Me too, we should get goin'.""], ['Rachel Green', "" No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore.""], ['Monica Geller', "" Rachel, that's all we do.""]]"	Rachel Green	First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Rachel respond with neutral, the emotion of others is neutral, 	 No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore., ; 	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., Others :  Me too, we should get goin'., Speaker :  No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore., Others :  Rachel, that's all we do., ; 	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., Others :  Me too, we should get goin'., Speaker :  No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore., Others :  Rachel, that's all we do., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Rachel respond with neutral, the emotion of others is neutral, 	False	0	Rachel has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., Others :  Me too, we should get goin'., Speaker :  No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore., Others :  Rachel, that's all we do., ; 	Others :  You know, it still smells like monkey in there., Others :  That saves us a conversation., Others :  Well, listen, this has been great but I'm officially wiped., Others :  Me too, we should get goin'., Speaker :  No, no, I mean, no, c'mon you guys, I mean, c'mon look it's only eleven thirty. Let's just talk, we never just hang out and talk anymore., Others :  Rachel, that's all we do., ; First, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, the emotion of others is neutral, Rachel respond with neutral, the emotion of others is neutral, 	Rachel has curiosity, open-mindedness, creativity, tolerance, emotional expressiveness, and willingness to embrace new experiences and ideas.
